date	LandonCorp	LandonScore	AmyCorp	AmyScore	VictorCorp	VictorScore	LindseyCorp	LindseyScore
1/1/22	Splice	113	United Nations Mars Initiative	153	Valley Trust	161		
1/2/22	Recyclon	100	Robinson Industries	75	Luna First Incorporated	83	Septem Tribus	121
1/2/22	EcoLine	77	CrediCor	66	Inventrix	64	Philares	71
1/2/22	Pristar	95	Point Luna	88	PhoboLog	103	Thorgate	82
1/8/22	Arcadian Communities	104	Inventrix	131	Pristar	152	Point Luna	141
1/9/22	Lakefront Resorts	77	Teractor	68	Septem Tribus	59	Luna First Incorporated	91
1/9/22	Agricola Inc	63	Viron	64	Aphrodite	77	Saturn Systems	82
1/9/22	Midas	100	United Nations Mars Initiative	95	Agricola Inc	90	Project Workshop	101
1/10/22	Project Workshop	92	Curiosity II	78	Astrodrill	87		
1/11/22	Pharmacy Union	101	Labour Union	107	Junk Ventures	68	Aristarchus	106
1/13/22	Vitor	77	Celestic	90	Polyphemos	83	Manutech	126
1/13/22	Valley Trust	66	Philares	57	Splice	85	Aphrodite	62
1/17/22	Celestic	77	United Nations Mars Initiative	71	Helion	72	Terralabs Research	84
1/18/22	Agricola Inc	110	Stormcraft Incorporated	102			Astrodrill	103
1/19/22					Poseidon	136	Helion	179
1/20/22	Arcadian Communities	101	Terralabs Research	108			Factorum	114
1/21/22					Astrodrill	166	Robinson Industries	155
1/24/22	Arcadian Communities	109	Celestic	86	Curiosity II	80	EcoLine	91
1/26/22	Playwrights	81	Project Workshop	109	Agricola Inc	106	Celestic	110
1/29/22	Tharsis Republic	88	Arklight	113	CrediCor	101	Poseidon	136
2/3/22	Teractor	100	Splice	125	United Nations Mars Initiative	96		
2/7/22	Project Workshop	100			Curiosity II	108	Arklight	118
2/8/22					Interplanetary Cinematics	176	Saturn Systems	209
2/10/22	Valley Trust	80	Inventrix	83	Project Workshop	55	Mining Guild	95
2/14/22	United Nations Mars Initiative	79	Thorgate	81	Valley Trust	91	Cheung Shing MARS	83
2/15/22	Teractor	130	Cheung Shing MARS	109			Arklight	143
2/16/22	Pristar	59	Helion	76	Inventrix	65	Tharsis Republic	69
2/21/22	EcoLine	87	PhoboLog	109	Cheung Shing MARS	116	Agricola Inc	90
2/28/22					Helion	152	Stormcraft Incorporated	144
2/28/22	Morning Star Inc	108			Thorgate	109	Viron	115
3/2/22	Thorgate	94			Cheung Shing MARS	113	Helion	108
3/2/22	Teractor	109	Cheung Shing MARS	132	Arklight	112	Recyclon	125
3/16/22	Arcadian Communities	93			Helion	82	Valley Trust	74
3/24/22	Polyphemos	89	Point Luna	73			Cheung Shing MARS	84
3/30/22					Tharsis Republic	147	Valley Trust	131
4/3/22	Thorgate	94			Tharsis Republic	80	Saturn Systems	107
4/6/22	Manutech	90	Aridor	107	Polyphemos	89		
6/26/22	Manutech	109	Point Luna	128	Thorgate	122		
6/30/22	Helion	103	Saturn Systems	113	Splice	109		
7/1/22	Terralabs Research	72	Arklight	109	Interplanetary Cinematics	67	Viron	75
7/2/22	Interplanetary Cinematics	87	Stormcraft Incorporated	93			Pharmacy Union	125
7/4/22	Pristar	78	Helion	81			Interplanetary Cinematics	64
7/6/22	Stormcraft Incorporated	144	Aridor	113	Arcadian Communities	105		
7/9/22	Valley Trust	83	Factorum	67	Polyphemos	70	CrediCor	77
7/9/22	Aphrodite	120	Celestic	95	Saturn Systems	91		
7/10/22	Pharmacy Union	87			Teractor	112	Arklight	115
7/12/22	Factorum	115			Manutech	108		
7/13/22	Celestic	118	Astrodrill	129	Vitor	108		
7/16/22	CrediCor	72	Stormcraft Incorporated	75			Philares	98
7/16/22	Tharsis Republic	175	Morning Star Inc	166			Celestic	147
7/17/22	Thorgate	134	Splice	142			Pristar	151
7/27/22	Point Luna	93			Terralabs Research	107	Aphrodite	96
8/5/22	Tharsis Republic	107	Astrodrill	117	Mining Guild	120		
8/7/22	Splice	100					Saturn Systems	98
8/8/22	Celestic	108			Tharsis Republic	159	PhoboLog	151
8/9/22	Helion	90	Inventrix	106	Valley Trust	105		
8/16/22	Factorum	113			Arklight	124	Stormcraft Incorporated	109
8/21/22	Point Luna	148					Mining Guild	126
8/21/22	Polyphemos	129	Point Luna	135			United Nations Mars Initiative	152
8/25/22	Valley Trust	105	Robinson Industries	136	Arklight	155		
8/26/22	Recyclon	104	Splice	113	Pristar	132		
8/27/22	Morning Star Inc	98	Inventrix	96	Thorgate	83	Point Luna	85
8/30/22	Aphrodite	108	PhoboLog	80	Mons Insurance	128	Poseidon	100
8/31/22	Philares	87			Celestic	89	Aphrodite	98
9/2/22	United Nations Mars Initiative	120	Cheung Shing MARS	121	Aridor	123		
9/4/22	Cheung Shing MARS	101			Point Luna	84	CrediCor	145
9/4/22	Splice	117			Teractor	141	Arcadian Communities	136
9/5/22	Robinson Industries	77	Thorgate	70	Polyphemos	84	Cheung Shing MARS	79
9/9/22	Point Luna	137	Splice	102	Astrodrill	91		
9/11/22	PhoboLog	94	Inventrix	127	Manutech	114	Valley Trust	109
9/23/22	Inventrix	117	Poseidon	132	Tharsis Republic	146		
9/24/22	Robinson Industries	93	Helion	84	PhoboLog	115	Thorgate	105
10/7/22	Inventrix	85	Stormcraft Incorporated	110			Valley Trust	90
10/7/22	Aphrodite	104			Arklight	107	CrediCor	141
10/9/22	Thorgate	94			Splice	184	Saturn Systems	121
10/10/22	Aphrodite	90			Pharmacy Union	85	PhoboLog	108
10/13/22	United Nations Mars Initiative	87					Celestic	106
10/14/22	Saturn Systems	119	Point Luna	102			Robinson Industries	137
10/15/22	Arklight	135	Terralabs Research	129			Recyclon	149
10/16/22	Poseidon	101	Interplanetary Cinematics	82			Mining Guild	145
10/25/22	Thorgate	103	Saturn Systems	112	Poseidon	109		
10/30/22	Interplanetary Cinematics	137					Cheung Shing MARS	155
10/31/22	Point Luna	104	Thorgate	97	EcoLine	116		
11/1/22	Mining Guild	158			Morning Star Inc	147		
11/7/22	Pharmacy Union	93	Factorum	88	Polyphemos	101	Interplanetary Cinematics	103
11/8/22	Manutech	89			Thorgate	100	Teractor	105
11/11/22	Vitor	99	Manutech	77	Poseidon	122		
11/12/22	Robinson Industries	103	Aridor	117	Morning Star Inc	113	Astrodrill	102
11/12/22	Saturn Systems	111	Terralabs Research	111			Valley Trust	127
11/16/22	Arcadian Communities	90			Inventrix	84	Helion	84
11/25/22	Celestic	118	Morning Star Inc	112	Valley Trust	89	CrediCor	108
11/27/22	Mining Guild	76	Point Luna	77	Cheung Shing MARS	69	Terralabs Research	81
12/2/22	Ecoline	93			Helion	96	Stormcraft Incorporated	106
12/4/22	Splice	156	United Nations Mars Initiative	182			Viron	180
12/6/22	Teractor	128			Inventrix	120	Philares	119
12/13/22	Teractor	149			Pharmacy Union	174	PhoboLog	169
12/17/22	United Nations Mars Initiative	114			PhoboLog	132	Inventrix	126
12/18/22	Philares	101			Mining Guild	119	Tharsis Republic	124
12/18/22	Terralabs Research	100			CrediCor	110	Curiosity II	116
12/19/22	Cheung Shing MARS	110			PhoboLog	107	Philares	113
12/20/22	Manutech	119	Philares	102			Vitor	124